trial_id,transcript,native_path,indian_path,A_path,B_path
33,"The Lords' Committee on Jails were of the same opinion, and considered the prisons under corporate or peculiar jurisdiction in a very unsatisfactory condition",gt_native/LJ005-0296.wav,gt_indian/LJ005-0296.wav,spicor_full_no_slm/LJ005-0296.wav,nat_ind/LJ005-0296.wav
34,"each was provided with an iron bedstead, and a small desk at which the condemned man might read or write",gt_native/LJ007-0201.wav,gt_indian/LJ007-0201.wav,spicor_full_no_slm/LJ007-0201.wav,nat_ind/LJ007-0201.wav
35,"the same callous indifference to the moral well-being of the prisoners, the same want of employment and of all disciplinary control",gt_native/LJ006-0044.wav,gt_indian/LJ006-0044.wav,spicor_full_no_slm/LJ006-0044.wav,nat_ind/LJ006-0044.wav
36,or witnesses who did not voluntarily come forward when the chance was given them,gt_native/LJ007-0111.wav,gt_indian/LJ007-0111.wav,spicor_full_no_slm/LJ007-0111.wav,nat_ind/LJ007-0111.wav
37,"to refer all communications on identified existing cases and, in addition",gt_native/LJ046-0139.wav,gt_indian/LJ046-0139.wav,spicor_full_no_slm/LJ046-0139.wav,nat_ind/LJ046-0139.wav
38,There is nothing novel or radical about this idea,gt_native/LJ024-0020.wav,gt_indian/LJ024-0020.wav,spicor_full_no_slm/LJ024-0020.wav,nat_ind/LJ024-0020.wav
39,"Later on, the Chartists agitated persistently for the concession embraced in the so-called People's Charter, many of which",gt_native/LJ010-0056.wav,gt_indian/LJ010-0056.wav,spicor_full_no_slm/LJ010-0056.wav,nat_ind/LJ010-0056.wav
40,"The rifle was shipped from Klein's in Chicago on March twenty, nineteen sixty-three, at a time when the Oswalds were living on Neely Street.",gt_native/LJ032-0234_rep.wav,gt_indian/LJ032-0234_rep.wav,spicor_full_no_slm/LJ032-0234_rep.wav,nat_ind/LJ032-0234_rep.wav
41,"and it was arranged that one of their number should knock at Lord Harrowby's door on the pretense of leaving a parcel,",gt_native/LJ010-0087_rep.wav,gt_indian/LJ010-0087_rep.wav,spicor_full_no_slm/LJ010-0087_rep.wav,nat_ind/LJ010-0087_rep.wav
42,X rays and photographs were taken preliminarily and the pathological examination began at about eight p m,gt_native/LJ031-0209_rep.wav,gt_indian/LJ031-0209_rep.wav,spicor_full_no_slm/LJ031-0209_rep.wav,nat_ind/LJ031-0209_rep.wav
43,"To meet his liabilities, he raised large sums on forged bills of acceptance drawn upon his mother, a woman of some means",gt_native/LJ017-0071_rep.wav,gt_indian/LJ017-0071_rep.wav,spicor_full_no_slm/LJ017-0071_rep.wav,nat_ind/LJ017-0071_rep.wav
44,he attempted for the first time to learn something about his family background when he went to New Orleans in April of nineteen sixty-three,gt_native/LJ043-0057_rep.wav,gt_indian/LJ043-0057_rep.wav,spicor_full_no_slm/LJ043-0057_rep.wav,nat_ind/LJ043-0057_rep.wav
45,through the instrumentality of the democratic form of government,gt_native/LJ022-0201_rep.wav,gt_indian/LJ022-0201_rep.wav,spicor_full_no_slm/LJ022-0201_rep.wav,nat_ind/LJ022-0201_rep.wav
46,"the condemned returning to the cells- the forger carried by turnkeys, the youth sobbing aloud convulsively, as a passionate child,",gt_native/LJ009-0111_rep.wav,gt_indian/LJ009-0111_rep.wav,spicor_full_no_slm/LJ009-0111_rep.wav,nat_ind/LJ009-0111_rep.wav
47,"Attacks upon the sovereign, as I have said, became more common after the accession of the young Queen Victoria in eighteen thirty eight",gt_native/LJ010-0146_rep.wav,gt_indian/LJ010-0146_rep.wav,spicor_full_no_slm/LJ010-0146_rep.wav,nat_ind/LJ010-0146_rep.wav
48,"two The female debtors' side consisted of a court yard forty nine by sixteen feet,",gt_native/LJ002-0048_rep.wav,gt_indian/LJ002-0048_rep.wav,spicor_full_no_slm/LJ002-0048_rep.wav,nat_ind/LJ002-0048_rep.wav
49,"The reckless demeanour of all the convicts except Davidson was most marked Thistlewood and Ings sucked oranges on the scaffold,",gt_native/LJ010-0127_rep.wav,gt_indian/LJ010-0127_rep.wav,spicor_full_no_slm/LJ010-0127_rep.wav,nat_ind/LJ010-0127_rep.wav
